question_id,question,choices,answerKey,statements,isRelevant
,,coat pocket,,A coat pocket is a small compartment located on the inside or outside of a coat.,
,,,,"People often use coat pockets to store small items like keys, phones, or tissues.",
,,,,"When it’s cold, people might put their hands in their coat pockets to keep warm.",
,,,,A coat pocket can sometimes be used to hold gloves or a wallet for easy access.,
,,,,"If you put something valuable in your coat pocket, you might worry about losing it or having it stolen.",
,,,,"Coats with deep pockets can hold larger items, such as books or snacks.",
,,,,"Sometimes, people forget things in their coat pockets and only find them later when they put on the coat again.",
,,,,"A coat pocket can sometimes get caught on objects, causing the coat to pull or rip.",
,,,,"When you’re walking in the rain, a coat pocket can keep items dry.",
,,,,People might keep their hands in their coat pockets when they feel nervous or shy.,
,,after hours speakeasy,,"After-hours speakeasies typically operate in secret, often in hidden locations to avoid legal scrutiny.",
,,,,They are popular in urban areas where nightlife thrives and there’s a demand for late-night entertainment.,
,,,,"The atmosphere of a speakeasy is usually intimate, with dim lighting, jazz music, and vintage decor.",
,,,,"Many patrons visit after-hours speakeasies to enjoy a drink in a more relaxed, exclusive setting than typical bars or clubs.",
,,,,"To maintain their underground nature, speakeasies often require patrons to know the right password or be referred by a trusted source.",
,,,,"The staff at these establishments may dress in retro clothing, adding to the vintage and secretive vibe.",
,,,,"The drinks served are typically crafted with care, often featuring classic cocktails from the Prohibition era.",
,,,,After-hours speakeasies often attract a clientele that enjoys a sense of rebellion or nostalgia for a bygone era.,
,,,,"The covert nature of these venues means that only those ""in the know"" can access them, creating an air of exclusivity.",
,,,,"While they may provide entertainment like live music or private events, after-hours speakeasies tend to prioritize the social experience over large crowds or mainstream entertainment.",
,,bordello,,"A bordello is a place where people pay for sexual services, often referred to as a brothel.",
,,,,"In many countries, bordellos are illegal or regulated by the government.",
,,,,"The term ""bordello"" is often associated with older, historical establishments, though modern versions exist under different names.",
,,,,Bordellos may employ women or men who offer their services to clients.,
,,,,"Historically, bordellos were often hidden or operated discreetly to avoid legal or social scrutiny.",
,,,,"Some bordellos are designed to provide more luxurious settings, while others may be more basic and utilitarian.",
,,,,People may visit a bordello to engage in activities that they might not feel comfortable with in other contexts.,
,,,,"Some bordellos are known for catering to specific fantasies or preferences, offering a wide range of services.",
,,,,"Many cultures have varying views on the morality and legality of bordellos, with some treating them as a necessary aspect of society and others condemning them.",
,,,,Bordellos may have security measures in place to ensure the safety of both workers and clients.,
dbcedaa6a6f1f68bc8f2bf7aef23294e,What do people feel after having sex that requires them to shower?,bedroom,dirty,"A bedroom is typically a private space in a home where people sleep, relax, and unwind.",
,,,,"Most bedrooms contain a bed, which is the central piece of furniture for sleeping.",
,,,,"Bedrooms are often decorated with personal items like photos, artwork, and favorite colors to make the space feel comfortable and cozy.",
,,,,"The lighting in a bedroom is usually adjustable, with lamps, ceiling lights, or even candles to create a relaxing ambiance.",
,,,,"People often store their clothes in a bedroom, either in a closet, dresser, or wardrobe.",
,,,,A bedroom provides privacy and is often a place where individuals can escape from the hustle and bustle of daily life.,
,,,,"The design and layout of a bedroom can vary depending on personal tastes, but it typically includes essential furniture like a bed, nightstands, and a dresser.",
,,,,"Many people use their bedroom not only for sleeping but also for reading, watching TV, or working on personal projects.",
,,,,Bedrooms are often kept tidy or organized to promote relaxation and restful sleep.,
,,,,"The temperature in a bedroom is important for comfort, with many people adjusting heating or cooling systems to create an ideal sleeping environment.",
,,pleasant,,A pleasant smell can make a room feel inviting and comfortable.,
,,,,People tend to have a pleasant experience when they are surrounded by friendly and kind individuals.,
,,,,"A pleasant day often involves good weather, such as sunshine or mild temperatures.",
,,,,Listening to pleasant music can help you relax or lift your mood.,
,,,,A pleasant conversation is one where both people feel heard and respected.,
,,,,A pleasant surprise is something unexpected that brings joy or delight.,
,,,,"Pleasant memories are often tied to happy experiences, such as vacations or family gatherings.",
,,,,A pleasant appearance can make someone seem more approachable and friendly.,
,,,,You might find a pleasant atmosphere in a cozy cafe or a quiet park.,
,,,,"Acts of kindness, like a thoughtful gift or compliment, can create pleasant feelings.",
,,obesity,,"Obesity is typically associated with an excessive amount of body fat, which can negatively impact a person’s health.",
,,,,"It is often caused by a combination of poor diet, lack of physical activity, and genetic factors.",
,,,,"Obesity increases the risk of developing serious health conditions like heart disease, diabetes, and certain cancers.",
,,,,People who are obese may face stigma or discrimination due to societal beauty standards and health perceptions.,
,,,,Weight loss through healthier eating and exercise is a common approach to managing obesity.,
,,,,"Obesity can affect a person’s mental health, leading to issues like low self-esteem, anxiety, or depression.",
,,,,"Lifestyle changes, such as improving diet and increasing physical activity, are usually the first steps in addressing obesity.",
,,,,Some individuals may turn to medical treatments or weight-loss surgery if traditional methods are not effective.,
,,,,"Obesity rates have been rising globally, largely due to changes in diet and more sedentary lifestyles.",
,,,,"Many communities and health organizations work to raise awareness about obesity and its potential health consequences, encouraging healthier living choices.",
,,painful,,Painful experiences often cause discomfort or distress in the body or mind.,
,,,,"Physical pain can be caused by injury, illness, or excessive strain.",
,,,,"Emotional pain, like sadness or grief, can feel just as intense as physical pain.",
,,,,People often seek relief or medicine when they are experiencing something painful.,
,,,,A painful injury can make it difficult to move or perform normal tasks.,
,,,,The intensity of pain can vary from mild discomfort to excruciating agony.,
,,,,"Painful situations may lead people to cry, wince, or express distress.",
,,,,Chronic pain is a long-lasting type of pain that can affect a person’s daily life.,
,,,,"People might avoid things they know will be painful, such as certain medical procedures.",
,,,,"Sometimes, experiencing pain can teach people to be more cautious or aware in the future.",
,,dirty,,"A dirty object is typically covered in dust, grime, or other substances that make it unclean to the touch.",
,,,,"People often associate dirtiness with unpleasant smells, stains, or a lack of hygiene.",TRUE
,,,,"Something dirty may be considered unsanitary, which could potentially lead to health issues if not cleaned.",TRUE
,,,,"When someone or something is dirty, it often requires cleaning to restore it to a more acceptable or hygienic state.",TRUE
,,,,"The concept of ""dirty"" can apply to various things, including clothing, rooms, hands, or even food.",
,,,,"In social contexts, calling something ""dirty"" can refer to something morally or ethically inappropriate, such as obscene language or behavior.",
,,,,"The level of dirtiness is often subjective, depending on a person’s standards of cleanliness or cultural norms.",
,,,,Children are often associated with being dirty because they tend to play outside and get their clothes or hands muddy.,
,,,,"Dirty can also be used metaphorically, like when referring to a ""dirty secret,"" meaning something hidden or undesirable.",
,,,,"People often clean up after themselves if they’ve made a mess, to avoid leaving things dirty and to maintain a pleasant environment.",TRUE
e151b44e0a7bf08a1dd3c861eef09161,What may I place the telephone on?,bar,desktop,A bar is a place where alcoholic beverages are served to customers.,
,,,,People often go to bars to socialize with friends or meet new people.,
,,,,Bartenders at a bar mix drinks and serve them to patrons.,
,,,,Bars may have stools or chairs for people to sit at while they drink.,
,,,,"Many bars have music, either live or recorded, to create a lively atmosphere.",
,,,,"Some bars offer food, like appetizers or full meals, in addition to drinks.",
,,,,"Bars are often busy during the evening and night, especially on weekends.",
,,,,"The term ""bar"" can also refer to the counter or surface where drinks are served.",TRUE
,,,,"Some bars have special themes or decor, like sports bars or tiki bars.",
,,,,"In some places, the legal drinking age limits who can enter a bar and consume alcohol.",
,,friend's house,,"A friend's house is a place where you can relax, hang out, and spend time with someone you trust.",
,,,,"People often visit a friend's house to catch up, watch movies, or enjoy meals together.",
,,,,A friend's house may have unique decor or items that reflect the tastes and personality of the host.,
,,,,"Depending on the friendship, you may feel comfortable enough to stay for extended periods or visit frequently.",
,,,,"When you're at a friend's house, it's common to feel at ease, as you're in a familiar, comfortable environment.",
,,,,"The house could be a space for shared activities, such as playing games, cooking, or doing creative projects.",
,,,,"At a friend's house, you might be invited to relax in spaces like the living room, kitchen, or backyard.",
,,,,"It’s typical to bring something like a snack or a drink when visiting a friend’s house, especially for longer visits.",
,,,,A friend's house can serve as a safe and supportive place to talk about personal issues or seek advice.,
,,,,"The dynamics of a visit to a friend's house often depend on the nature of the relationship, whether casual or deep, and the shared history between friends.",
,,desktop,,"A desktop is a type of computer that typically sits on a desk, as opposed to a laptop or mobile device.",
,,,,"People often use desktop computers for tasks like work, browsing the internet, or gaming.",
,,,,"The desktop screen displays icons for files, applications, and folders, which users can click on.",
,,,,Desktop computers are often more powerful and have larger screens compared to laptops.,
,,,,Many desktops come with a separate keyboard and mouse for input.,
,,,,"A desktop may have additional hardware like speakers, printers, or external drives connected to it.",
,,,,"The desktop is often the first screen you see after turning on the computer, showing your main workspace.",
,,,,People might customize the desktop background to personalize their computer.,
,,,,"Desktops can be used for professional purposes, such as graphic design, video editing, or software development.",
,,,,A cluttered desktop with too many icons or files can make it harder to find what you're looking for.,
,,party,,"A party is a social gathering where people come together to celebrate, have fun, and enjoy each other's company.",
,,,,"Parties typically involve music, dancing, food, drinks, and sometimes games or activities to keep guests entertained.",
,,,,"The size of a party can vary from small, intimate gatherings to large events with dozens or even hundreds of people.",
,,,,"Invitations are usually sent out in advance, either through paper invites, texts, or social media, to inform guests of the time, place, and theme (if any).",
,,,,"Parties can be held to celebrate special occasions like birthdays, holidays, or milestones, but can also be casual, spontaneous gatherings.",
,,,,"At parties, people often dress according to the theme, occasion, or the vibe of the event, whether it’s formal, casual, or a costume party.",
,,,,"Socializing is a key part of any party, with guests typically engaging in conversation, mingling, and making new connections.",
,,,,"Depending on the party, there might be a specific activity or entertainment, like karaoke, games, or a performance.",
,,,,"Partygoers may enjoy refreshments like appetizers, cocktails, or snacks, and it’s common to offer a variety to accommodate different tastes.",
,,,,"At the end of a party, guests often leave with a sense of enjoyment, sometimes exchanging contact information or plans to hang out again in the future.",
,,office,,"An office is a place where people work, often with desks, computers, and phones.",TRUE
,,,,Offices typically have workstations or cubicles for employees to complete tasks.,
,,,,Many offices have meetings or conferences to discuss work-related topics.,
,,,,People in offices often use email and phone calls to communicate with coworkers or clients.,
,,,,Offices usually have filing cabinets or digital storage for organizing important documents.,
,,,,Some offices offer flexible working hours or the option to work from home.,
,,,,"Offices are usually equipped with office supplies like pens, paper, and staplers.",
,,,,Office workers often take breaks during the day to refresh and recharge.,
,,,,"In offices, people typically dress in business attire, depending on the company culture.",
,,,,"Many offices have communal spaces, such as kitchens or lounges, for employees to relax or eat.",
c640116ca6905d5256edadb616b3f76e,Noble citizen of the Roman empire believed those born with lower status were what to them?,loser,inferior,"A ""loser"" is often used to describe someone who has failed to achieve a particular goal or outcome, such as losing a game or competition.",
,,,,"The term can be used in a self-deprecating or humorous way, but it can also be a hurtful label when used to insult someone.",
,,,,"People may refer to others as ""losers"" when they believe that person is unsuccessful or lacks social status.",TRUE
,,,,"Sometimes, a ""loser"" is simply someone who doesn’t fit into societal norms or expectations, regardless of their actual worth.",
,,,,"The label of ""loser"" can be applied to someone who repeatedly experiences failure or disappointment in certain aspects of life.",
,,,,"The concept of a ""loser"" is often subjective, as what is considered losing to one person might not be the same for another.",
,,,,"Some people embrace the idea of being a ""loser"" and turn it into a form of personal empowerment or defiance.",
,,,,"Being called a ""loser"" can negatively affect someone's self-esteem or sense of identity, especially if it becomes a consistent theme.",
,,,,"In a social setting, someone might be labeled a ""loser"" if they don't fit in, are socially awkward, or lack the traits valued by the group.",TRUE
,,,,"Despite the negative connotations, everyone experiences setbacks and failures at times, and being a ""loser"" in one instance doesn’t define a person's overall worth.",
,,ignoble,,"Ignoble refers to actions, behavior, or traits that are considered dishonorable or morally wrong.",
,,,,An ignoble deed is one that lacks integrity or decency.,
,,,,Someone who takes advantage of others for personal gain might be seen as ignoble.,
,,,,An ignoble person may try to deceive or manipulate others for selfish reasons.,
,,,,"The term ""ignoble"" can describe actions that are beneath the expectations of respectability.",
,,,,Ignoble acts are often condemned by society and can lead to loss of reputation.,
,,,,A person who shows cowardice in difficult situations might be described as ignoble.,
,,,,"Historically, ignoble actions could lead to being discredited or dishonored, especially in the context of nobility or leadership.",
,,,,"Ignoble behavior is often contrasted with noble behavior, which is virtuous and honorable.",
,,,,"The word ""ignoble"" is sometimes used to criticize someone who behaves in a way that is beneath their potential or moral standards.",
,,peasant,,"A peasant is typically a low-income, rural worker who is involved in agriculture or farming.",
,,,,"Historically, peasants were often tied to the land and may have worked for wealthier landowners or lords.",
,,,,"Peasants usually lived in small, simple homes made from local materials, like wood or mud.",
,,,,They often lived in close-knit communities where everyone worked together to grow food or raise livestock.,
,,,,"In many cultures, peasants were considered part of the lower social class, with limited access to education or resources.",TRUE
,,,,"The work of a peasant is physically demanding and usually involves long hours in the fields, tending crops or animals.",
,,,,Peasants typically had little to no access to political power or influence and often had to accept the decisions made by landowners or rulers.,
,,,,"Over time, some peasants were able to improve their circumstances through hard work, but many remained in poverty.",
,,,,Peasants often depended on the seasons and weather to determine the success of their harvests and livelihood.,
,,,,"While the term ""peasant"" has historical roots, it is still sometimes used today to describe poor farmers in certain parts of the world.",
,,inferior,,"If something is considered inferior, it is often viewed as lower in quality compared to something else.",TRUE
,,,,"People may feel inferior if they believe they don’t measure up to others in skills, appearance, or achievements.",
,,,,An inferior product might break more easily or not perform as well as a higher-quality one.,
,,,,"Some people use the term ""inferior"" to describe something that is seen as less important or less valuable.",
,,,,Inferior materials are often cheaper and may not last as long as superior ones.,
,,,,"In a hierarchy, an inferior position may be one with less authority or fewer responsibilities.",TRUE
,,,,"The idea of something being inferior is often subjective, depending on individual opinions or preferences.",
,,,,"If someone feels inferior in a social setting, they might have low self-esteem or a lack of confidence.",
,,,,"In a competitive context, being called inferior can be demotivating or discouraging.",
,,,,"An inferior version of a product or service may be a cheaper alternative, but it could lack some important features.",
,,plebeian,,"The term ""plebeian"" originally referred to the common people in ancient Rome, distinct from the aristocratic patricians.",TRUE
,,,,"Plebeians were typically farmers, artisans, and laborers who worked for a living rather than holding positions of political power.",
,,,,"Over time, the concept of plebeians became associated with the working class or the lower socioeconomic groups in societies.",
,,,,"Plebeians in ancient Rome often struggled for more rights and social mobility, with significant political and legal reforms made over time to improve their status.",
,,,,"A plebeian might have limited access to wealth, education, or luxury compared to the elite, though this could vary depending on the time and place.",
,,,,"In modern contexts, the term ""plebeian"" can sometimes be used pejoratively to describe someone considered unsophisticated or lacking in refinement.",
,,,,"Plebeians might form the majority of a population, while the elite or upper class would constitute a smaller, more powerful minority.",
,,,,"The struggles and desires of plebeians are often central to social movements, as they advocate for fairness and equality in society.",
,,,,"In some settings, plebeians are depicted as being more grounded and practical compared to the elite, who may be portrayed as out of touch with everyday life.",
,,,,"Historically, plebeians were an important force for social change, pushing for rights, reforms, and representation in governments or leadership structures.",
163898952cb6baf3a6440696e1352e86,"If for some reason you were to start killing people, what would you be likely to receive?",feelings of guilt,prison sentence,Feelings of guilt arise when someone believes they have done something wrong or hurtful.,TRUE
,,,,"Guilt can be triggered by actions, words, or even thoughts that go against one's values or ethics.",
,,,,"People may experience guilt when they hurt someone's feelings, break promises, or make mistakes.",
,,,,The feeling of guilt often involves a desire to make amends or apologize for what has been done.,TRUE
,,,,Guilt can be a motivator for people to change their behavior or avoid repeating the same mistake.,
,,,,Some people may experience intense feelings of guilt even when their actions were unintentional or minor.,
,,,,"Guilt can lead to a sense of self-blame, where individuals feel like they are responsible for the negative outcome.",
,,,,"The longer guilt is left unresolved, the more it can affect a person's emotional well-being.",
,,,,"People may try to suppress or deny their guilt, but it often resurfaces in thoughts or dreams.",
,,,,Guilt can sometimes be alleviated by seeking forgiveness from others or by making reparations for past actions.,
,,prison sentence,,A prison sentence is a punishment imposed by a court for someone who has been convicted of a crime.,TRUE
,,,,The length of a prison sentence can vary depending on the severity of the crime.,
,,,,People serving a prison sentence are typically incarcerated in a correctional facility.,
,,,,Prison sentences are meant to deter crime by making an example of offenders.,
,,,,"A prison sentence can have a significant impact on an individual's life, including their career and relationships.",
,,,,Prison sentences are sometimes reduced for good behavior or participation in rehabilitation programs.,
,,,,"In some cases, an individual might be sentenced to life in prison, meaning they will spend the rest of their life behind bars.",
,,,,"The possibility of parole allows some prisoners to be released before completing their full sentence, depending on their behavior and rehabilitation progress.",
,,,,"A prison sentence can affect a person's reputation and how they are perceived in society, even after they are released.",
,,,,"Serving a prison sentence does not necessarily mean a person is ""fixed"" or reformed, as recidivism rates can be high.",
,,terrible,,A terrible experience can leave lasting negative emotions.,TRUE
,,,,A terrible storm can cause widespread damage and fear.,
,,,,A terrible mistake often leads to regret and can be hard to fix.,TRUE
,,,,A terrible headache can make it difficult to focus or perform tasks.,
,,,,Terrible news can make people feel sad or anxious.,
,,,,A terrible meal at a restaurant may make you lose your appetite.,
,,,,Terrible weather conditions can make traveling dangerous.,
,,,,A terrible accident can result in serious injuries or even death.,
,,,,A terrible movie might leave you feeling like you wasted your time.,
,,,,A terrible performance at a job interview can reduce your chances of getting hired.,
,,encouragement,,"Encouragement is often given to boost someone's confidence or morale, especially when they face challenges.",
,,,,A simple word of encouragement can make a significant difference in someone's performance or attitude.,
,,,,Parents commonly encourage their children to pursue their goals and dreams.,
,,,,"Encouragement can come in many forms, including praise, kind words, or gestures of support.",
,,,,"When someone is feeling discouraged, encouragement can help them regain hope and motivation.",
,,,,Positive reinforcement through encouragement is often more effective than criticism or punishment.,
,,,,"Encouragement can be given by friends, family, teachers, or mentors, and it plays a key role in personal growth.",
,,,,"Encouragement in a group setting, like in a team or classroom, can create a supportive environment for everyone involved.",
,,,,"Sometimes, encouragement is needed to take risks or step outside one's comfort zone.",
,,,,"Offering encouragement is not only helpful to others, but it can also strengthen relationships and create a sense of camaraderie.",
,,die,,"When someone dies, their heart stops beating, and they no longer breathe.",
,,,,People often feel grief when a loved one dies.,
,,,,"Animals, like humans, can die due to illness, old age, or accidents.",
,,,,"The process of dying can be peaceful or painful, depending on the circumstances.",
,,,,Many cultures have rituals and ceremonies to honor the dead.,
,,,,"People may fear dying, especially when faced with life-threatening situations.",TRUE
,,,,"After someone dies, their body is typically buried or cremated.",
,,,,Death is a natural part of the life cycle for all living organisms.,
,,,,"Some people believe in an afterlife, while others think death is the end of existence.",
,,,,The news of a famous person’s death can lead to widespread public mourning.,
caccaa51ee960a92d44e5b949fc35a66,"They wanted to try blowfish, so they went to get some where?",atlantic ocean,fish market,"The Atlantic Ocean is one of the five major oceans on Earth, covering about 20% of the planet’s surface.",
,,,,The Atlantic Ocean separates the continents of North and South America from Europe and Africa.,
,,,,"The Atlantic Ocean is known for its historical significance, as many transatlantic voyages and explorations took place across it.",
,,,,"The ocean is home to various marine life, including whales, dolphins, sharks, and a wide range of fish species.",TRUE
,,,,"The Atlantic Ocean has both warm waters in the Gulf Stream and cold waters in the North Atlantic, which influence global weather patterns.",
,,,,"It plays a crucial role in international shipping and trade, with many of the world's busiest ports located along its coasts.",
,,,,"The Atlantic Ocean is prone to hurricanes, especially in the late summer and fall, due to warm ocean temperatures.",
,,,,"The ocean is connected to the Mediterranean Sea via the Strait of Gibraltar, and to the Arctic Ocean through the Greenland Sea.",
,,,,"The Atlantic Ocean is shallower on its continental shelves and much deeper in its central parts, such as the Puerto Rico Trench.",
,,,,"The Atlantic Ocean has been a key route for cultural exchange, including the transatlantic slave trade, which had profound impacts on history.",
,,books,,Books are a great source of knowledge and information.,
,,,,Reading books can improve vocabulary and language skills.,
,,,,Books can transport readers to different worlds through fiction.,
,,,,Books are often used for learning in schools and universities.,
,,,,A good book can make you lose track of time.,
,,,,Some books are considered classics and are widely studied and respected.,
,,,,Books can be shared among friends or donated to libraries.,
,,,,People often read books to relax or unwind after a long day.,
,,,,"Books can be expensive, especially limited editions or academic texts.",
,,,,Many books are available in both physical and digital formats.,
,,france,,"France is a country located in Western Europe, known for its rich history, culture, and art.",
,,,,"Paris, the capital of France, is famous for landmarks like the Eiffel Tower, the Louvre Museum, and Notre-Dame Cathedral.",
,,,,"France is renowned for its cuisine, including dishes like croissants, baguettes, cheese, and wine.",
,,,,"The French Revolution, which began in 1789, significantly shaped the country's political and social landscape.",
,,,,"France is a member of the European Union (EU), NATO, and the United Nations (UN).",
,,,,"The French language is spoken not only in France but also in many other countries around the world, especially in Africa and Canada.",
,,,,"France has a diverse geography, including mountains like the Alps, beautiful beaches along the Mediterranean, and lush countryside.",
,,,,"The French are known for their fashion and have a long-standing influence on the global fashion industry, especially in cities like Paris.",
,,,,"The French flag consists of three vertical stripes: blue, white, and red.",
,,,,"France is home to several world-famous landmarks, such as the Château de Versailles, Mont-Saint-Michel, and the French Riviera.",
,,aquarium,,An aquarium is often used to display aquatic animals like fish and sea turtles.,TRUE
,,,,An aquarium needs regular cleaning to maintain water quality for the fish.,
,,,,People visit aquariums to learn about marine life and underwater ecosystems.,
,,,,"Aquariums can vary in size, from small home tanks to large public displays.",
,,,,Fish in an aquarium depend on the right temperature and pH levels to stay healthy.,
,,,,An aquarium with colorful fish can be a relaxing and calming decoration for a room.,
,,,,Aquariums often include plants and artificial rocks to mimic natural habitats.,
,,,,"Some aquariums have exhibits that feature sharks, jellyfish, or coral reefs.",
,,,,Aquariums need proper filtration systems to keep the water clean and safe for the inhabitants.,
,,,,An aquarium is a good way to observe the behavior of marine animals up close without going into the ocean.,
,,fish market,,"A fish market is a place where fresh seafood, such as fish, shellfish, and other marine products, are sold.",TRUE
,,,,Fish markets are often located near coastal areas to ensure a fresh supply of fish.,
,,,,The smell at a fish market can be strong due to the presence of seafood.,
,,,,"In some fish markets, you can find live fish that are sold on the spot.",TRUE
,,,,Fish markets are popular places for restaurants and chefs to buy fresh ingredients for seafood dishes.,
,,,,Fish markets typically operate in the early morning hours when the catch from fishing boats arrives.,
,,,,Fish are often displayed on ice in fish markets to keep them fresh.,TRUE
,,,,"Many fish markets have a variety of seafood, including exotic or hard-to-find species for those looking for something special.",TRUE
,,,,"Bargaining and haggling over prices can be common in some fish markets, especially in local or open-air settings.",
,,,,"Some fish markets also offer ready-to-eat meals, such as sushi or grilled seafood, for customers who want a quick bite.",
4f23829b96b38b5633ecc3325281726d,John rode on the plain until it reached the ocean and couldn't go any farther. What might he have bee on?,mountain,cliff,Climbing a mountain can be physically demanding and requires preparation.,
,,,,The view from the top of a mountain is often breathtaking and rewarding.,
,,,,Mountains can have varying climates depending on their altitude.,
,,,,"Some mountains are dormant volcanoes, while others are active.",
,,,,Many people go hiking or skiing in the mountains for recreation.,
,,,,A mountain range is a series of connected mountains that often forms a natural barrier.,
,,,,"Snow-capped mountains are often associated with cold, wintry environments.",
,,,,Mountains can serve as a habitat for various wildlife species.,
,,,,Climbing to the summit of a mountain is a common goal for mountaineers.,
,,,,A mountain's elevation and terrain can make it dangerous for inexperienced travelers.,
,,fancy,,"""Fancy"" often refers to something that is elaborate, intricate, or luxurious in design or appearance.",
,,,,"People may use the word ""fancy"" to describe an expensive or high-end restaurant, dress, or event.",
,,,,"A ""fancy"" occasion, like a wedding or gala, typically requires dressing up in formal or elegant clothing.",
,,,,"The word ""fancy"" can be used to describe something that is more decorative than practical, like a fancy chair or ornate vase.",
,,,,"Someone who has a ""fancy"" for something, like a particular food or hobby, is said to have a strong liking or preference for it.",
,,,,"A ""fancy"" can sometimes refer to an imaginative or whimsical idea, like daydreaming about something extraordinary or extravagant.",
,,,,"In some contexts, ""fancy"" can be used to describe something that is stylish or fashionable.",
,,,,"People often refer to ""fancy"" as something that is not necessarily needed but is appreciated for its beauty or uniqueness.",
,,,,"""Fancy"" can also describe someone who is trying to impress others with their appearance or possessions, sometimes in a way that seems excessive or showy.",
,,,,"Having a ""fancy"" meal might mean it includes special ingredients or intricate preparation, often served in an elegant manner.",
,,sandplain,,"A sandplain is typically a flat area covered by loose, sandy soil.",
,,,,Sandplains are often found in regions with little rainfall and sparse vegetation.,
,,,,Sandplains can be challenging for farming due to their low water retention.,
,,,,"Some desert ecosystems, such as those in Africa or Australia, include sandplains.",
,,,,"Sandplains can sometimes host unique plant species adapted to dry, sandy conditions.",
,,,,"Over time, wind can shape sandplains, creating dunes or shifting patterns.",
,,,,"Sandplains may be home to animals that can survive in harsh, dry environments.",
,,,,"Sandplains are often used for mining, especially for extracting sand and gravel.",
,,,,"The soil in sandplains typically drains quickly, making it difficult for plants to grow without extra watering.",
,,,,Sandplains may be part of larger ecosystems like coastal or inland deserts.,
,,cliff,,"A cliff is a steep, vertical or nearly vertical rock face.",TRUE
,,,,"Cliffs are often found along coasts, mountains, or river valleys.",TRUE
,,,,"It can be dangerous to get too close to the edge of a cliff, especially during strong winds or wet conditions.",
,,,,"People often go hiking or sightseeing near cliffs, but they must be cautious not to fall.",
,,,,"Cliffs can be made of various types of rock, including limestone, granite, or sandstone.",
,,,,"Birds, such as puffins and eagles, are commonly seen nesting on cliffs.",
,,,,A cliff’s height can vary greatly; some cliffs are hundreds of meters tall.,
,,,,Erosion from wind and water can slowly cause cliffs to collapse or recede over time.,
,,,,Cliffs are often a popular subject in photography due to their dramatic appearance.,
,,,,"People may hike down a cliffside if there is a path or trail, but it can be physically demanding.",
,,gorge,,"A gorge is typically formed by the erosive forces of water, like rivers or glaciers, over thousands or millions of years.",
,,,,"Gorges often feature steep, rocky walls, making them difficult to navigate.",
,,,,"Many gorges are located in mountainous or hilly areas, where water has carved deep paths through the earth.",
,,,,A river running through a gorge may appear much narrower and more turbulent due to the surrounding cliffs.,
,,,,People visiting a gorge often hike along its edges to take in scenic views.,
,,,,Gorges can be dangerous for travelers due to the potential for falling rocks or flooding.,
,,,,"Some gorges are home to unique ecosystems, supporting specialized plant and animal species.",
,,,,"In some cultures, gorges are considered sacred or hold cultural significance.",
,,,,"Gorges can vary in size, from narrow ravines to large, dramatic canyons.",
,,,,"Waterfalls are often found within gorges, as rivers may cascade over the steep cliffs that define the gorge’s walls.",
0547da29ffab9b441bae8870cd0f9dab,"If you partied all night you could find yourself already what, even when just beginning work?",getting tired,getting tired,"Getting tired usually happens after physical exertion, like exercise or walking for a long time.",
,,,,Lack of sleep can make a person feel tired even if they haven’t been active.,TRUE
,,,,"Mental fatigue, such as working or studying for long periods, can also make someone feel tired.",
,,,,"Drinking caffeine or energy drinks might temporarily reduce tiredness, but the feeling often returns later.",
,,,,Getting tired is a natural response when the body or mind needs rest or recovery.,TRUE
,,,,"People may feel tired in the late afternoon or evening, especially if they’ve had a busy day.",
,,,,Dehydration and poor nutrition can make someone feel more tired than usual.,
,,,,Napping or resting can help restore energy and reduce tiredness.,
,,,,"Physical symptoms of tiredness can include yawning, heavy eyelids, and sluggish movements.",
,,,,Chronic tiredness or fatigue might be a sign of an underlying health issue and may require medical attention.,
,,working,,Working is a fundamental activity that allows people to earn money and support themselves or their families.,
,,,,"People work in various settings, including offices, factories, hospitals, and at home.",
,,,,"The type of work someone does depends on their skills, education, and interests.",
,,,,"Most people spend a significant portion of their day working, with breaks for meals and rest.",
,,,,"Working can be both mentally and physically demanding, depending on the job.",
,,,,"Many people work in teams to accomplish tasks, while others may work independently.",
,,,,"Work often involves deadlines, which help ensure tasks are completed in a timely manner.",
,,,,A good work-life balance is important for maintaining physical and mental health.,
,,,,"Technology has transformed many jobs, making work more efficient but also introducing new challenges.",
,,,,"People often seek job satisfaction, which can be influenced by factors like salary, environment, and personal fulfillment.",
,,procrastination,,"Procrastination is the act of delaying or postponing tasks, often until the last minute.",
,,,,People often procrastinate because they find a task unpleasant or overwhelming.,
,,,,Procrastination can lead to feelings of guilt or stress as deadlines approach.,
,,,,Many people procrastinate when they have a lack of motivation or are distracted by more enjoyable activities.,
,,,,"Some people procrastinate due to perfectionism, fearing they won’t do a task perfectly.",
,,,,"Procrastination can affect both small tasks, like doing laundry, and larger projects, like writing an essay.",
,,,,"Setting small, manageable goals can help reduce procrastination by breaking down big tasks.",
,,,,Procrastination is often linked to poor time management and a lack of discipline.,
,,,,People sometimes procrastinate because they underestimate how much time a task will take.,
,,,,"While procrastination may offer temporary relief from stress, it usually results in greater stress later on when the task is still pending.",
,,jumping,,Jumping involves using the legs or feet to push off the ground in order to rise into the air.,
,,,,"People often jump to reach something high, like a shelf or a basketball hoop.",
,,,,"Athletes practice jumping to improve their performance in sports such as basketball, volleyball, or track and field.",
